shona,part_of_speech_tag,english
adhiresi,NN,address
aina,VB,to iron
aini,NN,iron
aisi,NN,ice
aiwa,CC,no
aizikirimu,NN,ice cream
akaundi,NN,account
akaunzi,NN,accounts
amai,NN,mother
amaiguru,NN,older maternal mother; older sister of one's wife
amainini,NN,younger maternal mother; younger sister of one's wife
amburenzi,NN,ambulance
amburera,NN,umbrella
ambuya,NN,grandmother (LHL)
aambuya,NN,mother-in-law (HLL)
ani,WP,who
apa,RB,here
apirikoti,NN,apricot
apo,RB,there
apuraya,VB,apply
apuro,NN,apple
arufabheti,NN,alphabet
asi,CC,but
asima,NN,asthma
awa,NN,hour
-ba,VB,steal
baba,NN,father
babamudiki,NN,younger paternal uncle
babamukuru,NN,elder paternal uncle
badza,NN,hoe
bako,NN,cave
banga,NN,knife
bango,NN,pole
-banha,VB,kick
bapiro,NN,wing
bapu,NN,lung
bara,NN,bullet
barika,NN,polygamy
basa,NN,job; profession; labor; work
-bata,VB,hold; capture; catch; touch
-batanidza,VB,combine; join; unite
-batsira,VB,help; assist
-baya,VB,stab
bazi,NN,branch
bendekete,NN,shoulder
benzi,NN,idiot
bere,NN,hyena
-bereka,VB,bear; carry on one's back
bhachi,NN,jacket; coat
-bhadhara,VB,pay
Bhaibheri,NN,Bible
bhambu,NN,bomb
bhanan'ana,NN,thunder
bhanana,NN,banana
bhande,NN,belt
bhandiji,NN,bandage
bhanga,NN,bank
bhanzi,NN,bun
bhasiketi,NN,basket
bhasikoro,NN,bicycle
bhata,NN,butter
bhatani,NN,button
bhatiri,NN,battery
bhavhadheyi,NN,birthday
bhawa,NN,beer hall
bhazi,NN,bus
bhegi,NN,bag
-bheka,VB,bake
bhekari,NN,bakery
-bhenda,VB,bend
bhenji,NN,bench
bhini,NN,bin
bhinzi,NN,beans
bhiri,NN,bill
bhiridha,NN,builder
bhiriji,NN,bridge
Bhishopu,NN,Bishop
bhisikiti,NN,biscuit
bhiza,NN,horse
bhizimisi,NN,business
bhodhoro,NN,bottle
bhokisi,NN,box
bhoneti,NN,bonnet
chamhembe,NN,south
chando,NN,cold
chanzi,NN,chance
chechi,NN,church
cheka,VB,cut
cheki,VB,check
chema,VB,cry; mourn
chembera,VB,be old
chena,JJ,white
chena,VB,be clean
chengeta,VB,keep
chengetedza,VB,save
cheni,NN,chain
chenjera,VB,be cautious; be clever
chenji,NN,change
chera,VB,dig; scoop
cheri,NN,cherry
chibage,NN,maize
chibereko,NN,uterus
chibhakera,NN,fist
chibvumirano,NN,agreement
chidhakwa,NN,alcoholic
chidhinha,NN,brick
chidzidzo,NN,lesson; subject
chigaro,NN,chair; seat
chigero,NN,scissors
chigunwe,NN,thumb; finger; toe
chihwitsi,NN,sweet
chii,NN,what
chiito,NN,verb
chikafu,NN,food
chikamu,NN,chapter
chikepe,NN,boat
chikero,NN,scale
chikomo,NN,hill
chikonzero,NN,reason; cause
chikopokopo,NN,helicopter
chikoro,NN,school
chikosoro,NN,cough
Chikumi,NN,June
Chikunguru,NN,July
chikwama,NN,wallet
chikwangwani,NN,sign
chikwata,NN,group
chikwereti,NN,credit; debt; loan
chimbini,NN,chimney
chimumumu,NN,dumb
chimuti,NN,stick
China,NN,Thursday
chingwa,NN,bread
chinhu,NN,thing
chiningoningo,NN,wrist
chinja,VB,exchange
chinwiwa,NN,beverage; drink
chinyoreso,NN,pen
chipa,VB,be cheap
chipatara,NN,hospital
chipembere,NN,rhino
Chipiri,NN,Tuesday
chipo,NN,gift; present
chipoko,NN,ghost
chipunu,NN,spoon
chirebvu,NN,chin
